Title,Description,Rating Value,Vote Count,Content Rating,Genre,Duration,IMDb Link
"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",8.1,1043754,AL,"Animation, Adventure, Comedy",1 Hour 32 Minutes,https://www.imdb.com/title/tt0198781/
Jaws,"When a massive killer shark unleashes chaos on a beach community off Long Island, it&apos;s up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",8.1,715792,16,"Adventure, Horror, Thriller",2 Hours 4 Minutes,https://www.imdb.com/title/tt0073195/
In the Name of the Father,"An Irish man&apos;s coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",8.1,198577,16,"Biography, Crime, Drama",2 Hours 13 Minutes,https://www.imdb.com/title/tt0107207/
Relatos salvajes,Six short stories that explore the extremities of human behavior involving people in distress.,8.1,232236,16,"Comedy, Drama, Thriller",2 Hours 2 Minutes,https://www.imdb.com/title/tt3011894/
The Gold Rush,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",8.1,125797,Approved,"Adventure, Comedy, Drama",1 Hour 35 Minutes,https://www.imdb.com/title/tt0015864/
Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,8.1,541613,6,"Action, Biography, Drama",2 Hours 32 Minutes,https://www.imdb.com/title/tt1950186/
Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend&apos;s father&apos;s pocketwatch.",8.1,63472,Passed,"Action, Comedy, Romance",45 Minutes,https://www.imdb.com/title/tt0015324/
Mary and Max.,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger&apos;s syndrome.",8.1,198410,12,"Animation, Comedy, Drama",1 Hour 32 Minutes,https://www.imdb.com/title/tt0978762/
The Deer Hunter,The lives of a group of friends are forever changed by the Vietnam War.,8.1,379572,16,"Drama, War",3 Hours 3 Minutes,https://www.imdb.com/title/tt0077416/
Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",8.1,71690,Unrated,"Adventure, Drama, Thriller",2 Hours 36 Minutes,https://www.imdb.com/title/tt0046268/
The General,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene...",8.1,104030,AL,"Action, Adventure, Comedy",1 Hour 18 Minutes,https://www.imdb.com/title/tt0017925/
Mr. Smith Goes to Washington,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his c...",8.1,127344,AL,"Comedy, Drama",2 Hours 9 Minutes,https://www.imdb.com/title/tt0031679/
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",8.1,903245,16,"Action, Drama, Sci-Fi",2 Hours 17 Minutes,https://www.imdb.com/title/tt3315342/
On the Waterfront,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate&apos;s victims.",8.1,174544,AL,"Crime, Drama, Thriller",1 Hour 48 Minutes,https://www.imdb.com/title/tt0047296/
Rocky,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,8.1,670301,14,"Drama, Sport",2 Hours,https://www.imdb.com/title/tt0075148/
Smultronstället,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",8.1,122039,12,"Drama, Romance",1 Hour 32 Minutes,https://www.imdb.com/title/tt0050986/
Tôkyô monogatari,"An old couple visit their children and grandchildren in the city, but receive little attention.",8.1,75423,AL,Drama,2 Hours 17 Minutes,https://www.imdb.com/title/tt0046438/
